# name    ,freq in GHz
CH2CHCN   ,219.40057880
NH2CN     ,219.44159880
c-H2COCH2 ,219.51324420
C18O      ,219.56035410
HNCO      ,219.65676950
C15N      ,219.70874290
C15N      ,219.72248770
HNCO      ,219.73385000
HNCO      ,219.73719300
HNCO      ,219.79827400
H213CO    ,219.90852500
C15N      ,219.93404000
C15N      ,219.93482000
SO        ,219.94944200
t-HCOOH   ,220.03796710
H2CCO     ,220.17756900
13CO      ,220.39861950 
CH313CN   ,220.53232730
CH2CHCN   ,220.56139020
CH313CN   ,220.57037280
HNCO      ,220.58475100
t-CH3CH2OH,220.60192700
CH313CN   ,220.62113620
CH313CN   ,220.63383350
CH313CN   ,220.63806650
CH3CN     ,220.67928690
SiC2      ,220.77368860
